"BehaviorSpace results (NetLogo 6.2.1)"
"modelo_base.nlogo"
"cleaners_capacity_and_eaters_survival"
"11/12/2021 23:09:30:532 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"energy-from-food","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"trashcans","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"spawn-prob-toxic-waste","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"cleaner-storage","10","10","10","10","10","10","10","10","10","10","25","25","25","25","25","25","25","25","25","25","50","50","50","50","50","50","50","50","50","50"
"spawn-prob-waste","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"start-eaters","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"start-cleaners","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"start-energy","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"spawn-prob-food","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"[reporter]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
"[final]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"[mean]","3.102222222222222","3.0240490797546014","2.1768807339449543","3.4082758620689657","3.3465030674846625","2.2594764397905758","3.4885889570552147","2.2710526315789474","3.5196396396396397","2.0850467289719625","3.2136774193548385","2.8491275167785233","2.8389010989010988","4.498018018018018","3.907714285714286","2.368805031446541","2.148214285714286","4.145573770491803","3.637372262773723","3.565","3.4640522875816995","3.1441059602649006","1.7042962962962962","3.0126582278481013","2.7750943396226413","4.100655737704918","2.540681818181818","4.072058823529412","2.9025714285714286","2.075598086124402"
"[steps]","4274","4074","5449","3624","4074","4774","4074","5699","2774","5349","3874","3724","4549","2774","3499","3974","5599","3049","3424","3999","3824","3774","6749","3949","3974","3049","4399","3399","3499","5224"

"[all run data]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
,"50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
,"50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
,"50","48","48","47","48","45","47","49","49","47","49","47","49","47","47","48","49","47","44","50","49","47","48","49","46","50","46","49","47","47"
,"49","48","48","46","48","43","47","49","49","47","49","47","48","47","47","48","48","47","44","50","49","46","48","48","46","50","46","49","47","47"
,"49","46","48","46","48","43","47","49","49","47","49","47","48","47","47","47","48","47","44","50","48","44","48","48","46","50","45","49","47","47"
,"49","46","48","46","48","43","47","49","49","47","49","47","48","47","46","47","48","47","44","50","48","44","48","48","46","50","45","49","47","47"
,"49","46","48","46","48","43","47","49","49","47","49","47","48","47","45","47","48","46","44","50","48","44","48","48","45","50","45","49","47","47"
,"49","45","48","46","48","42","47","49","49","47","49","47","48","46","45","47","48","46","44","50","48","43","48","48","44","50","45","49","47","47"
,"49","45","48","45","48","42","47","49","49","47","49","46","48","46","45","47","48","46","44","50","48","43","48","48","44","49","45","49","47","47"
,"49","44","48","45","48","42","47","49","49","47","49","46","47","46","45","47","48","46","44","50","48","43","48","48","44","49","45","49","47","47"
,"48","44","48","45","48","42","47","49","49","47","49","45","47","46","45","46","48","46","44","50","48","43","48","47","44","48","44","49","47","46"
,"48","44","48","45","48","42","47","49","49","47","49","45","47","46","45","46","48","46","44","50","48","43","48","46","44","48","43","49","47","46"
,"48","44","48","45","48","41","47","49","49","47","49","44","47","45","45","46","48","46","44","50","48","43","48","46","44","48","43","49","47","46"
,"48","43","48","45","48","41","47","49","49","47","49","44","47","45","45","45","48","46","44","50","47","43","48","46","44","48","43","49","47","45"
,"48","43","47","45","48","40","47","49","49","47","49","43","47","45","45","45","48","46","44","50","47","43","48","46","44","48","43","48","47","45"
