"BehaviorSpace results (NetLogo 6.2.1)"
"modelo_melhorado.nlogo"
"cleaners_capacity_and_eaters_survival"
"11/12/2021 22:59:35:471 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"reproduce-cost","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"energy-from-food","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"trashcans","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"cleaner-storage","10","10","10","10","10","10","10","10","10","10","25","25","25","25","25","25","25","25","25","25","50","50","50","50","50","50","50","50","50","50"
"spawn-prob-toxic-waste","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"spawn-prob-waste","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"start-eaters","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"reproduce-prob","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30"
"start-cleaners","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"start-energy","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"spawn-prob-food","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"[reporter]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
"[final]","1","9509","9656","9591","9876","9844","9488","9809","9686","9666","9831","9679","9994","9977","9726","9491","9717","1","9908","9511","9657","9527","9679","9827","9559","9562","9992","9556","9749","9987"
"[min]","1","48","45","44","47","49","31","48","41","8","50","43","44","44","45","48","43","1","32","36","46","21","44","19","36","39","50","38","46","42"
"[max]","50","9509","9656","9591","9876","9844","9488","9809","9686","9666","9831","9679","9994","9977","9726","9491","9717","50","9908","9511","9657","9527","9679","9827","9559","9562","9992","9556","9749","9987"
